Year;Country of origin;Country of asylum;Refugees;Asylum-seekers
2017;Oman;United Kingdom of Great Britain and Northern Ireland;11;11
2017;Oman;Germany;9;6
2017;Qatar;United Kingdom of Great Britain and Northern Ireland;6;0
2017;Saudi Arabia;France;12;0
2017;Saudi Arabia;United Kingdom of Great Britain and Northern Ireland;129;55
2017;Saudi Arabia;Germany;105;42
2017;Saudi Arabia;Greece;5;5
2017;Saudi Arabia;Italy;7;13
2017;Saudi Arabia;Switzerland;5;13
2017;Syrian Arab Rep.;France;12520;2394
2017;Syrian Arab Rep.;United Kingdom of Great Britain and Northern Ireland;9100;574
2017;Syrian Arab Rep.;Germany;496674;70833
2017;Syrian Arab Rep.;Greece;13714;9605
2017;Syrian Arab Rep.;Italy;3618;1696
2017;Syrian Arab Rep.;Portugal;307;0
2017;Syrian Arab Rep.;Spain;11752;2255
2017;Syrian Arab Rep.;Switzerland;13639;3192
2017;Tunisia;France;293;43
2017;Tunisia;United Kingdom of Great Britain and Northern Ireland;39;37
2017;Tunisia;Germany;160;592
2017;Tunisia;Greece;16;55
2017;Tunisia;Italy;601;548
2017;Tunisia;Spain;0;14
2017;Tunisia;Switzerland;273;67
2017;United Arab Emirates;United Kingdom of Great Britain and Northern Ireland;18;5
2017;United Arab Emirates;Germany;27;5
2017;United Arab Emirates;Italy;0;5
2017;Western Sahara;France;512;1104
2017;Western Sahara;United Kingdom of Great Britain and Northern Ireland;11;0
2017;Western Sahara;Greece;0;6
2017;Western Sahara;Italy;5;0
2017;Western Sahara;Spain;17;127
2017;Western Sahara;Switzerland;7;5
2017;Yemen;France;218;11
2017;Yemen;United Kingdom of Great Britain and Northern Ireland;453;124
2017;Yemen;Germany;1171;682
2017;Yemen;Greece;158;108
2017;Yemen;Italy;113;42
2017;Yemen;Spain;21;210
2017;Yemen;Switzerland;339;47
2018;Algeria;France;1790;1395
2018;Algeria;United Kingdom of Great Britain and Northern Ireland;337;257
2018;Algeria;Germany;589;1295
